DTC,DTD,Time,Val,Unit,Year
HQ0,MANUAL-Observed Discharge,2020-10-28 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-29 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-30 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-10-31 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-01 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-02 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-03 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-04 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-05 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-06 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-07 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-08 08:00:00,4.48,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-09 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-10 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-11 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-12 08:00:00,6.61,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-13 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-14 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-15 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-16 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-17 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-18 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-19 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-20 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-21 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-22 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-23 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-24 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-25 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-26 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-27 08:00:00,55.21,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-28 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-29 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-11-30 08:00:00,38.04,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-01 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-02 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-03 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-04 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-05 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-06 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-07 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-08 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-09 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-10 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-11 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-12 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-13 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-14 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-15 08:00:00,25.97,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-16 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-17 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-18 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-19 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-20 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-21 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-22 08:00:00,16.36,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-23 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-24 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-25 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-26 08:00:00,11.23,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-27 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-28 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-29 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-30 08:00:00,10.22,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2020-12-31 08:00:00,7.84,m3/sec,2020
HQ0,MANUAL-Observed Discharge,2021-01-01 08:00:00,7.288,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-02 08:00:00,7.288,m3/sec,2021
HQ0,MANUAL-Observed Discharge,2021-01-03 08:00:00,4.911,m3/sec,2021
